Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [10]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///Shuffleboard/drive/Target RPM,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/Shooter RPM Feedback,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/right stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
0,,,,,33.0,,true,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.649999618530273,0.0015,2.0E-5,0.047,4800.0,0.0015,0.047,4800.0,0.0078125,1.0,4787.109375,4787.109375,16340.0,16340.0,0.0,0.0
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4835.7421875,4835.7421875,16506.0,16506.0,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4835.44921875,,16505.0,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4835.15625,4835.44921875,16504.0,16505.0,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4834.86328125,,16503.0,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4834.86328125,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4835.15625,16503.0,16504.0,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4835.15625,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4834.86328125,16504.0,16503.0,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4834.86328125,4835.15625,16503.0,16504.0,,
410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4834.5703125,4834.86328125,16502.0,16503.0,,
411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4826.953125,4827.5390625,16476.0,16478.0,,
418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4825.78125,4825.48828125,,,,
419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16472.0,16471.0,,
438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4824.90234375,,,,,
439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4824.31640625,16469.0,16467.0,,
458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4824.31640625,,,,,
459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16467.0,,,
479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4823.14453125,4822.8515625,16463.0,16462.0,,
499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4822.265625,,16460.0,,,
519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4821.97265625,4821.97265625,16459.0,16459.0,,
538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4821.09375,,16456.0,,
558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4820.5078125,,16454.0,,,
578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4820.21484375,4820.21484375,16453.0,16453.0,,
619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4819.04296875,4819.3359375,16449.0,16450.0,,
639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4818.75,4817.87109375,16448.0,16445.0,,
659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4817.87109375,,16445.0,,,
679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4817.28515625,4817.28515625,16443.0,16443.0,,
699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4816.40625,4816.40625,16440.0,16440.0,,
719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4816.11328125,,16439.0,,,
740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4815.234375,4815.8203125,16436.0,16438.0,,
1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4814.94140625,,,,,
1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4810.546875,4810.83984375,16421.0,16421.0,,
1016,,,,,,,,,,,,,,,,,,,,,,,-12.829999923706055,,,,,,,,,,4810.546875,4810.83984375,16420.0,16421.0,,
1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4810.83984375,,16421.0,,,
1062,,,,,,,,,,,,,,,,,,,,,,,-12.819999694824219,,,,,,,,,,4811.71875,4811.1328125,,16422.0,,
1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4811.42578125,16424.0,16423.0,,
1102,,,,,,,,,,,,,,,,,,,,,,,-12.829999923706055,,,,,,,,,,4811.1328125,4810.83984375,16422.0,16421.0,,
